symbol,price,price_change,price_percent_change
PRTG,10.66,5.95,126.33
LXEH,21.42,8.09,60.68
DBVT,5.86,1.95,49.77
NTHI,17.71,5.71,47.55
AGX,144.7,29.47,25.57
ALMS,5.56,0.86,18.4
PHH,13.78,1.95,16.48
QNTM,9.74,1.36,16.23
HMY,14.14,1.3,10.16
ONEG,2.93,0.27,10.15
ABL,7.86,0.7,9.86
BIYA,6.97,0.58,9.08
QSG,3.32,0.26,8.5
ALMU,7.02,0.52,7.91
WRB,71.46,5.18,7.82
GNLX,3.26,0.23,7.59
AEVA,6.86,0.48,7.52
CVAC,3.0,0.2,7.32
MBX,7.93,0.52,7.05
JUNE,9.4,0.59,6.75
CRVO,9.04,0.54,6.32
SKYH,13.65,0.78,6.06
BASE,15.54,0.89,6.04
GFI,22.14,1.19,5.65
SLNO,71.14,3.75,5.56
ABUS,3.43,0.16,4.89
PLSE,16.4,0.74,4.73
III,3.94,0.17,4.51
SVRA,2.9,0.12,4.41
MASS,4.17,0.16,3.99
APP,271.04,9.34,3.57
ZLAB,37.46,1.28,3.54
WKSP,3.46,0.11,3.28
BRZE,37.86,1.16,3.16
PN,3.14,0.09,2.95
TIC,11.52,0.33,2.9
TYRA,9.94,0.28,2.85
BCAX,13.78,0.38,2.84
AU,37.2,1.02,2.82
LODE,2.57,0.07,2.8
NGG,65.72,1.79,2.8
TTEC,3.52,0.1,2.78
DRD,14.84,0.4,2.77
GIFT,2.16,0.06,2.76
CWT,47.79,1.28,2.75
AMBR,12.38,0.33,2.74
AURA,6.1,0.16,2.69
SNRE,48.68,1.25,2.65
GOGL,8.36,0.21,2.64
BCDA,2.75,0.07,2.57
ENPH,62.26,1.54,2.54
MTRX,12.61,0.31,2.52
HE,11.45,0.28,2.51
BOWN,7.5,0.18,2.48
BKD,6.06,0.14,2.45
TARS,51.88,1.23,2.43
PPL,35.82,0.83,2.39
TKC,6.22,0.14,2.34
OGS,75.42,1.69,2.29
MLGO,16.3,0.36,2.26
MRK,89.57,1.97,2.25
AWK,146.28,3.21,2.25
ONC,268.19,5.59,2.13
FE,40.26,0.81,2.04
ES,61.53,1.23,2.04
TATT,28.54,0.57,2.04
BLND,3.51,0.07,2.03
PNW,94.88,1.85,1.99
RACE,435.13,8.31,1.95
WTRG,39.4,0.75,1.94
RKLB,18.76,0.34,1.85
CMS,74.5,1.35,1.85
NWE,56.7,1.03,1.85
LAND,10.61,0.19,1.82
SJW,53.22,0.94,1.81
AMRC,12.52,0.22,1.79
SLP,24.63,0.43,1.78
ALDX,6.37,0.11,1.73
RYTM,54.41,0.92,1.72
BOW,41.7,0.7,1.71
NEXN,7.76,0.13,1.7
PEG,82.08,1.38,1.7
WELL,152.45,2.53,1.69
SNY,55.83,0.92,1.68
KSPI,94.36,1.55,1.67
POR,44.47,0.73,1.67
GNK,13.38,0.21,1.63
WEC,107.93,1.71,1.61
D,55.33,0.86,1.58
NJR,49.15,0.76,1.57
AZN,73.97,1.13,1.55
LUNG,6.89,0.1,1.47
SYRE,17.95,0.26,1.47
GO,13.16,0.19,1.46
AFG,129.61,1.84,1.44
HLN,10.26,0.14,1.43
THRD,3.54,0.05,1.43
VFS,3.3,0.05,1.43
FMS,24.9,0.35,1.42
DUK,119.3,1.65,1.4
