symbol,price,price_change,price_percent_change
MLGO,9.67,7.15,283.7
TNXP,30.56,7.53,32.7
DOMH,5.36,1.23,29.78
LXEO,3.39,0.68,25.14
LUNR,8.76,1.67,23.48
CYRX,6.96,1.27,22.32
CDXS,3.1,0.56,21.76
ATER,2.48,0.36,16.97
MPTI,43.53,6.14,16.42
YSG,5.36,0.69,14.64
QUBT,8.47,1.08,14.6
IONQ,25.47,3.21,14.43
AZEK,47.23,5.84,14.11
BTDR,11.36,1.35,13.54
MRT,3.26,0.39,13.47
MARA,14.03,1.65,13.33
BBAI,3.36,0.39,13.29
TEM,58.12,6.77,13.18
OKLO,30.72,3.56,13.13
CLSK,8.41,0.97,13.05
KOSS,5.86,0.67,12.99
HFFG,3.95,0.44,12.42
RCAT,6.06,0.64,11.81
UPC,3.94,0.41,11.68
COHR,76.15,7.91,11.59
ROOT,178.78,18.52,11.56
AMPX,3.47,0.36,11.5
BKKT,13.3,1.37,11.48
MTEN,6.27,0.64,11.37
ECX,2.96,0.3,11.28
VSAT,10.88,1.1,11.25
CLIK,3.07,0.31,11.23
MNTK,2.42,0.24,11.01
RR,2.5,0.23,10.4
RIME,2.44,0.23,10.34
APLD,7.8,0.73,10.33
CHCI,8.52,0.78,10.08
OSUR,3.78,0.34,10.03
ASPI,4.6,0.41,9.79
AAOI,22.42,2.0,9.77
TSLA,272.18,23.47,9.44
LITE,72.72,6.11,9.17
AMSC,21.64,1.8,9.07
DBI,4.4,0.36,8.91
PGY,12.38,1.01,8.88
HOOD,48.27,3.91,8.81
CVNA,207.74,16.79,8.79
ASTS,27.94,2.23,8.67
REAL,6.77,0.54,8.67
ANGI,16.95,1.35,8.65
AEVA,4.55,0.36,8.59
CRDO,50.32,3.98,8.59
DERM,6.23,0.49,8.54
SMLR,42.56,3.34,8.52
NBIS,29.26,2.29,8.47
PL,4.11,0.32,8.31
GRO,3.36,0.26,8.23
LE,11.08,0.83,8.1
BROS,70.72,5.29,8.09
OPFI,10.55,0.79,8.07
SERV,7.58,0.56,8.06
GAP,21.63,1.61,8.04
TDUP,2.76,0.2,8.01
WKHS,2.3,0.17,7.98
KRUS,59.5,4.37,7.93
MTSR,30.22,2.2,7.85
INDI,2.4,0.17,7.85
GRAL,32.66,2.37,7.82
MNTS,2.19,0.16,7.8
APP,338.3,24.27,7.73
W,36.26,2.6,7.72
SHOO,26.93,1.9,7.59
MATV,6.55,0.46,7.57
LMND,37.18,2.6,7.52
WULF,3.44,0.24,7.5
NPWR,3.16,0.22,7.49
PLTK,4.31,0.3,7.48
DOMO,8.91,0.62,7.48
SJT,5.48,0.38,7.45
NN,12.86,0.89,7.44
RIOT,8.54,0.59,7.41
GLTO,6.55,0.45,7.38
ANAB,18.34,1.26,7.36
SATL,4.07,0.28,7.35
HIMS,37.3,2.55,7.34
ZETA,15.47,1.04,7.21
BBIO,37.26,2.49,7.16
ARQQ,18.98,1.25,7.07
ADPT,8.99,0.59,7.02
CYN,4.88,0.32,7.02
BNED,10.53,0.69,7.0
HEPS,3.0,0.2,6.96
KSS,8.86,0.57,6.94
AMD,113.8,7.36,6.91
BBWI,32.37,2.09,6.9
EVGO,2.95,0.19,6.88
CANG,4.35,0.28,6.88
KOD,3.5,0.23,6.86
IDR,13.72,0.88,6.86
AEYE,12.17,0.78,6.85
